opinion,sujet,checked_text
Défavorable," Non !, le 17 juin 2023 à 22h34",Non !. Contre l’arrêté !!! Stop au massacre !
Défavorable," Non au massacre du vivant, le 17 juin 2023 à 16h41","Non au massacre du vivant. Je suis contre ce projet d’arrêté. Laissons la nature, le vivant, le beau tranquille. Écoutons les scientifiques qui nous alarment sur l’effondrement de la biodiversité dans nos régions, ce sont des faits, des chiffres établis. Je veux que mes enfants et petits enfants puissent voir des renards, des blaireaux, des martres et des pies lors de nos balades. Ces animaux que certains qualifient de nuisibles (pardon, d’ESOD…) sont évidement utiles, voire indispensables pour l’environnement et pour nous, comme tout le vivant que nous méprisons globalement."
Défavorable," C’est inhumain. , le 17 juin 2023 à 16h42","C’est inhumain. . Je n’arrive pas à comprendre comment on peut faire souffrir ces animaux dits soi-disant de nuisibles.,Cette horreur doit s’arrêter maintenant. ,Il n’y a rien de plus beau que tous ces animaux et chacun d’entre eux est utile à la nature. ,Alors il faut les protéger et donc de ce fait, je m’oppose à l’extermination de tous ces animaux. D’autres possibilités alternatives existent pour les cultures agricoles."
Défavorable," Faire disparaître la notion de nuisibles (""dissimulée"" sous sa reformulation ESOD), le 17 juin 2023 à 16h43","Faire disparaître la notion de nuisibles (""dissimulée"" sous sa reformulation ESOD). Les arguments contre la destruction des prétendus ESOD sont nombreux. Les commentaires contre cette odieuse destruction sont suffisamment éloquents pour ne pas mentionner ces arguments de nouveau. Je me contenterai donc de plaider pour l’ABANDON PUR ET SIMPLE DE LA NOTION MÊME DE NUISIBLES ESOD. La seule espèce nuisible sur notre planète est humaine. Toutes les espèces sauvages sont utiles à la nature et nous les déclarons nuisibles uniquement quand elles interagissent d’une manière supposée négative (avec beaucoup de mauvaise foi ou sur la base d’informations incomplètes ou erronées) avec nos pratiques humaines qui, elles, sont destructrices multi-avérées de l’environnement (chasse, pêche, agriculture intensive chimique, artificialisation des sols, etc…).,Cordialement"
Défavorable," actions non pertinentes scientifiquelent et perturbant grandement la faune et les ecosystèmes., le 17 juin 2023 à 16h43","actions non pertinentes scientifiquement et perturbant grandement la faune et les écosystèmes.. Le renard, par exemple, est un prédateur efficace et contribue au contrôle des populations de petits mammifères, y compris des rongeurs nuisibles. Le geai des chênes et la pie bavarde sont des oiseaux intelligents qui jouent un rôle dans la dispersion des graines et l’équilibre de l’écosystème. Quant à la belette et la martre, elles sont également des prédateurs naturels qui peuvent aider à réguler les populations de divers petits animaux. Ces espèces vont deja souffrir du réchauffement climatique, de la sécheresse, des modifications de biotope, ce n’est pas la peine d’en rajouter. Merci de plutôt soutenir des solutions moins radicales et innovantes."
Défavorable," Contre ! Dites non à la chasse., le 17 juin 2023 à 16h36","Contre ! Dites non à la chasse.. Ce projet est à nouveau une atteinte à la biodiversité. Chaque animal a sa place. Dans les régions où la chasse est proscrite les animaux se régulent eux-mêmes par manque de disponibilité des ressources alimentaires.,Ce projet est conçu pour les chasseurs qui ont peur pour leurs proies, perdrix, lièvres etc."
Favorable," Favorable , le 17 juin 2023 à 16h36","Favorable . La liste des nuisibles doit être conservé, si nos anciens l’ont appliqué ce n’est pas pour rien"
Défavorable," Consultation du 15/06/2023 au 06/07/2023 - 6885 contributions, le 17 juin 2023 à 16h41","Consultation du NOMBRE NOMBRE NOMBRE au NOMBRE NOMBRE NOMBRE - NOMBRE contributions. Non à la destruction des Espèces Susceptibles d’Occasionner des Dégâts (ESOD) dites « du groupe NOMBRE ».,,Eve Émeri"
Défavorable," Animaux emblématiques de nos communes et pratiques d’un autre temps, le 17 juin 2023 à 16h36","Animaux emblématiques de nos communes et pratiques d’un autre temps. Bonjour,,Je m’oppose à ce projet.,Car il stigmatise des animaux qui font l’identité de nos territoires et font partie de notre patrimoine. (""le corbeau et le renard"" de J de la Fontaine par ex).,D’autre part, cette pratique de mettre sur une ""liste noire"" des animaux me semble d’un autre temps."
Défavorable," Avis sur arrêté ESOD, le 17 juin 2023 à 16h37","Avis sur arrêté ESOD. Madames, Messieurs,,,Par cette participation je marque mon désaccord à cet arrêté. Pour le peu de nature qu’il nous reste en France, il serait préférable de trouver une autre approche pour les dégâts occasionnels, sans piégeage ni chasse,,Cordialement"
