titre;date;heure;sujet;raw_text;checked_text;lemma;opinion
DEFAVORABLE;1er juin 2025;21h24;DEFAVORABLE, le 1er juin 2025 à 21h24;DEFAVORABLE. Le loup n’est pas le problème des éleveurs. Notre grand Président, lors de la présidence tournante de l’UE (janvier - Juin NOMBRE ) a signé un traité avec la Nouvelle Zélande pour une importation SUPPLEMENTAIRE de NOMBRE tonnes de viande d’agneau. L’agneau de N-Z se trouve à - de NOMBRE le kg en supermarché. L’agneau français est aux alentours de NOMBRE Euros . Alors, qui veut la mort des éleveurs ? qui est le loup dans la bergerie ?;DÉFAVORABLE. Le loup n’est pas le problème des éleveurs. Notre grand Président, lors de la présidence tournante de l’UE (janvier - Juin NOMBRE ) a signé un traité avec la Nouvelle Zélande pour une importation supplémentaire de NOMBRE tonnes de viande d’agneau. L’agneau de N-Z se trouve à - de NOMBRE le kg en supermarché. L’agneau français est aux alentours de NOMBRE Euros . Alors, qui veut la mort des éleveurs ? qui est le loup dans la bergerie ?;défavorable loup problème éleveur grand président présidence tournant ue janvier juin nombre signer traité nouveau zélande pour importation supplémentaire nombre tonne viande agneau agneau ne z trouver nombre kg supermarché agneau français alentours nombre euro vouloir mort éleveur loup bergerie;Défavorable
Favorable ;1er juin 2025;07h30;Favorable , le 1er juin 2025 à 07h30;Favorable . Éleveur de poneys depuis NOMBRE ans dans des conditions montagne suisse Normande. La protection clôtures dec2 mètres au milieu des rochers des contrebas contre haut est impossible ..lesnpatous au milieu d un tissus routier important et chemins n est pas possible sans danger pour les promeneurs .. Les terres sont à 8km des bâtiments..les regrouper en bâtiment chaque soit pas possible . La race élevée shetland sera la NOMBRE ère à être bouffée… . Et pas une race à être enfermée shetland Et pas indemnisé pour les clôtures et les chiens car les équidés ne sont pas pris en charge;Favorable . Éleveur de poneys depuis NOMBRE ans dans des conditions montagne suisse Normande. La protection clôtures codec mètres au milieu des rochers des contrebas contre haut est impossible ..patouilles au milieu d un tissus routier important et chemins n est pas possible sans danger pour les promeneurs .. Les terres sont à 8km des bâtiments..les regrouper en bâtiment chaque soit pas possible . La race élevée shetland sera la NOMBRE ère à être bouffée… . Et pas une race à être enfermée shetland Et pas indemnisé pour les clôtures et les chiens car les équidés ne sont pas pris en charge;favorable éleveur poney nombre an condition montagne suisse normande protection clôturer codec mètre milieu rocher contrebas contre haut impossible patouiller milieu d tissu routier important chemin ne danger pour promeneur terrer 8 km bâtiment regrouper bâtiment race élever shetland nombre ère bouffer race enfermer shetland indemniser pour clôturer chien équidé pris charge;Favorable
DEFAVORABLE;1er juin 2025;07h43;DEFAVORABLE, le 1er juin 2025 à 07h43;"DEFAVORABLE. NOMBRE ans de retour naturel très progressif en France (sinon anormalement lent ), et l’espèce lupine reste cantonnée à quelques zones alpines. Sa survie n’est toujours pas assurée, et la tendance régresse même. Les voix de la modération, de quelque ""camp"" qu’elles proviennent, ne sont désespérément pas entendues. Alors que des exemples de cohabitation avec le loup (certes ""forcée"", mais on ne peut pas parler de biodiversité seulement pour enjoliver des discours démagogiques ) existent, et ils ne viennent pas seulement de l’étranger - dont pays limitrophes ou autres européens. La régulation du fusil, c’est la victoire de l’impuissance, le renoncement de l’intelligence. Aider les éleveurs qui doivent évidemment se protéger est un devoir car leur métier est rendu encore plus compliqué. Mais missionner l’éradication tacite d’une espèce dont la place est prouvée dans l’écosystème, est navrant sinon honteux. Le choix de la facilité a rarement grandi une société humaine.";"DÉFAVORABLE. NOMBRE ans de retour naturel très progressif en France (sinon anormalement lent ), et l’espèce lupine reste cantonnée à quelques zones alpines. Sa survie n’est toujours pas assurée, et la tendance régresse même. Les voix de la modération, de quelque ""camp"" qu’elles proviennent, ne sont désespérément pas entendues. Alors que des exemples de cohabitation avec le loup (certes ""forcée"", mais on ne peut pas parler de biodiversité seulement pour enjoliver des discours démagogiques ) existent, et ils ne viennent pas seulement de l’étranger - dont pays limitrophes ou autres européens. La régulation du fusil, c’est la victoire de l’impuissance, le renoncement de l’intelligence. Aider les éleveurs qui doivent évidemment se protéger est un devoir car leur métier est rendu encore plus compliqué. Mais missionner l’éradication tacite d’une espèce dont la place est prouvée dans l’écosystème, est navrant sinon honteux. Le choix de la facilité a rarement grandi une société humaine.";défavorable nombre an naturel progressif anormalement lent espèce lupine cantonner zone alpin survie assurer tendance régresser voix modération camp provenir désespérément entendre exemple cohabitation loup forcer biodiversité pour enjoliver discours démagogique exister venir étranger pays limitrophe européen régulation fusil victoire impuissance renoncement intelligence aider éleveur évidemment protéger devoir métier rendu compliqué missionner éradication tacite espèce place prouver écosystème navrant honteux choix facilité rarement grandir société humain;Défavorable
defavorable;1er juin 2025;07h58;defavorable, le 1er juin 2025 à 07h58;defavorable. Il existe des moyens pour protéger les troupeaux, encore faudrait-il que les éleveurs s’en donnent la peine. Mais c’est sûr qu’un coup de fusil suivi d’une indemnisation c’est moins contraignant…;défavorable. Il existe des moyens pour protéger les troupeaux, encore faudraitil que les éleveurs s’en donnent la peine. Mais c’est sûr qu’un coup de fusil suivi d’une indemnisation c’est moins contraignant…;défavorable exister moyen pour protéger troupeau faudraitil éleveur donner peiner sûr coup fusil suivi indemnisation contraignant;Défavorable
Avis défavorable ;1er juin 2025;08h12;Avis défavorable , le 1er juin 2025 à 08h12;Avis défavorable . L’État admet qu’il existe des mesures pour réduire la vulnérabilité des bovins et équins mais affirme qu’ils ne sont pas vraiment efficaces. Sur la base de quelle étude scientifique ? Ce n’est pas sérieux, d’autant qu’elles existent et que ces mesures ont déjà été mises en œuvre avec succès dans d’autres pays d’Europe. Il suffit qu’il y ait un début de mise en place de mesure de protection, et la liste est longue, pour détruire le loup. Aucune notion de contrôle de la mise en place de mesures EFFICACES, c’est la porte ouverte au tir de loups systématique. Affligeant pour une espèce dite encore protégée.;Avis défavorable . L’État admet qu’il existe des mesures pour réduire la vulnérabilité des bovins et équins mais affirme qu’ils ne sont pas vraiment efficaces. Sur la base de quelle étude scientifique ? Ce n’est pas sérieux, d’autant qu’elles existent et que ces mesures ont déjà été mises en œuvre avec succès dans d’autres pays d’Europe. Il suffit qu’il y ait un début de mise en place de mesure de protection, et la liste est longue, pour détruire le loup. Aucune notion de contrôle de la mise en place de mesures EFFICACES, c’est la porte ouverte au tir de loups systématique. Affligeant pour une espèce dite encore protégée.;avis défavorable état admettre exister mesure pour réduire vulnérabilité bovin équin affirmer vraiment efficace base étude scientifique sérieux autant exister mesure été mises œuvre succès pays europe début mise place mesure protection liste longue pour détruire loup aucun notion contrôler mise place mesure efficace porte tir loup systématique affligeant pour espèce protéger;Défavorable
Absolument défavorable ;1er juin 2025;08h54;Absolument défavorable , le 1er juin 2025 à 08h54;Absolument défavorable . Arrêtons une culture de mort. Il est nécessaire d’informer et de former les éleveurs sur les moyens de protéger leurs troupeaux. Tuer le loup n’est pas la solution. La mort n’est pas la solution.;Absolument défavorable . Arrêtons une culture de mort. Il est nécessaire d’informer et de former les éleveurs sur les moyens de protéger leurs troupeaux. Tuer le loup n’est pas la solution. La mort n’est pas la solution.;absolument défavorable arrêter culture mort nécessaire informer former éleveur moyen protéger troupeau tuer loup solution mort solution;Défavorable
AVIS DÉFAVORABLE;1er juin 2025;08h56;AVIS DÉFAVORABLE, le 1er juin 2025 à 08h56;AVIS DÉFAVORABLE. Si nous voulons survivre en tant q ’humanité, il va falloir faire de la place aux non humains qui font partie du vivant et ont toute leur place sur terre. Ce sont nos modes de vie et de production qui provoquent des réactions négatives par rapport aux loups. Ils faut former les éleveurs et leur apprendre à avoir des stratégies de défenses, et il faut les aider bien sûr. Mais le loup est une espèce clé de voute qui quand il est dans un milieu provoque un enrichissement de la biodiversité. Nous pourrions nous intéresser à çà plutôt que de trouver des solutions d’éradication. Nous sommes à un tournant de notre présence sur terre, ouvrons nous à d’autres voies.;AVIS DÉFAVORABLE. Si nous voulons survivre en tant q ’humanité, il va falloir faire de la place aux non humains qui font partie du vivant et ont toute leur place sur terre. Ce sont nos modes de vie et de production qui provoquent des réactions négatives par rapport aux loups. Ils faut former les éleveurs et leur apprendre à avoir des stratégies de défenses, et il faut les aider bien sûr. Mais le loup est une espèce clé de voûte qui quand il est dans un milieu provoque un enrichissement de la biodiversité. Nous pourrions nous intéresser à çà plutôt que de trouver des solutions d’éradication. Nous sommes à un tournant de notre présence sur terre, ouvrons nous à d’autres voies.;avis défavorable vouloir survivre q humanité falloir faire place non humain partie vivant place terrer mode vie production provoquer réaction négatif rapport loup falloir former éleveur apprendre stratégie défense falloir aider bien sûr loup espèce clé voûte milieu provoquer enrichissement biodiversité pouvoir intéresser çà trouver solution éradication sommes tournant présence terrer ouvrons voies;Défavorable
Avis défavorable ;1er juin 2025;08h58;Avis défavorable , le 1er juin 2025 à 08h58;Avis défavorable . Respectons toute forme de vie. Les éleveurs se doivent de mieux protéger leurs troupeaux. Arrêtons d’aller à la simplicité en détruisant ce qui nous gêne.;Avis défavorable . Respectons toute forme de vie. Les éleveurs se doivent de mieux protéger leurs troupeaux. Arrêtons d’aller à la simplicité en détruisant ce qui nous gêne.;avis défavorable respecter forme vie éleveur mieux protéger troupeau arrêter aller simplicité détruire gêne;Défavorable
Avis défavorable ;1er juin 2025;14h16;Avis défavorable , le 1er juin 2025 à 14h16;Avis défavorable . Ce projet d’arrêté, loin de renforcer la coexistence entre pastoralisme et prédateurs, affaiblit encore les principes de protection de la faune sauvage, et fait passer la facilité administrative avant la cohérence scientifique;Avis défavorable . Ce projet d’arrêté, loin de renforcer la coexistence entre pastoralisme et prédateurs, affaiblit encore les principes de protection de la faune sauvage, et fait passer la facilité administrative avant la cohérence scientifique;avis défavorable projet arrêté loin renforcer coexistence pastoralisme prédateur affaiblir principe protection faune sauvage passer facilité administratif cohérence scientifique;Défavorable
AVIS TRES DEFAVORABLE;1er juin 2025;09h19;AVIS TRES DEFAVORABLE, le 1er juin 2025 à 09h19;AVIS TRES DEFAVORABLE. Canis Lupus à le droit de vivre comme nous Tous. Avec plus de dialogue Nous pourrons vivre en bonne intelligence, il existe de nombreuses manières de cohabiter mais il faut le vouloir. La destruction est la plus facile bien typiquement français. Les moyens de protections sont nombreux.;AVIS TRES DÉFAVORABLE. Canis Lupus à le droit de vivre comme nous Tous. Avec plus de dialogue Nous pourrons vivre en bonne intelligence, il existe de nombreuses manières de cohabiter mais il faut le vouloir. La destruction est la plus facile bien typiquement français. Les moyens de protections sont nombreux.;avis défavorable canis lupus droit vivre dialogue pouvoir vivre bon intelligence exister manière cohabiter falloir vouloir destruction facile bien typiquement français moyen protection;Défavorable
