titre;date;heure;sujet;raw_text;checked_text;lemma;Opinion_estimée
Avis défavorable;1er juin 2025;17h28;Avis défavorable, le 1er juin 2025 à 17h28;Avis défavorable. Le loup n’est pas que prédateur. Son rôle par exemple dans le rétablissement et l’équilibre de nombre d’écosystèmes et dans la durée est fondamental. Avis défavorable.;Avis défavorable. Le loup n’est pas que prédateur. Son rôle par exemple dans le rétablissement et l’équilibre de nombre d’écosystèmes et dans la durée est fondamental. Avis défavorable.;avis défavorable loup prédateur rôle exemple rétablissement équilibre nombre écosystème durée fondamental avis défavorable;Défavorable
DEFAVORABLE à 1000/100;1er juin 2025;14h35;DEFAVORABLE à 1000/100, le 1er juin 2025 à 14h35;DEFAVORABLE à NOMBRE NOMBRE . Les loups sont des animaux utiles, la biodiversité est restaurée sur les territoires où ils vivent (contrairement aux humains qui la détruisent en toute impunité );défavorable à NOMBRE NOMBRE . Les loups sont des animaux utiles, la biodiversité est restaurée sur les territoires où ils vivent (contrairement aux humains qui la détruisent en toute impunité );défavorable nombre nombre loup animal utile biodiversité restaurer territoire vivre contrairement humain détruire impunité;Défavorable
Dérogation loup;1er juin 2025;14h35;Dérogation loup, le 1er juin 2025 à 14h35;Dérogation loup. Je suis défavorable à toutes les dérogations qui autorisent l abattage des loups quelque soit la raison Priorité à la préservation de la faune sauvage et leur milieu naturel;Dérogation loup. Je suis défavorable à toutes les dérogations qui autorisent l abattage des loups quelque soit la raison Priorité à la préservation de la faune sauvage et leur milieu naturel;dérogation loup défavorable dérogation autoriser l abattage loup raison priorité préservation faune sauvage milieu naturel;Défavorable
DEFAVORABLE;1er juin 2025;14h45;DEFAVORABLE, le 1er juin 2025 à 14h45;DEFAVORABLE. Je suis attristée et consternée devant le nombre de reculs de l’Etat en matière de protection de l’environnement et de la faune sauvage… ce d nouvel arrêté est incompatible avec le statut d’espèce protégée du loup. L’Etat semble totalement se désengager de sa mission d’accompagnement des éleveurs pour tenter de faire cohabiter la faune sauvage et l’agriculture, comme cela peut être fait dans les pays limitrophes. D’autre part, les scientifiques (trop rarement écoutés ) pointent le fait que les tirs ne résoudront pas le problème…un individu ou une meute qui disparaît libère une nouvelle niche écologique pour d’autres…ceci n’est pas une solution satisfaisante sur le long terme et ne permet pas de remplir la mission de protection du loup, pourtant essentiel pour la santé de nos écosystèmes.;défavorable. Je suis attristée et consternée devant le nombre de reculs de l’État en matière de protection de l’environnement et de la faune sauvage… ce d nouvel arrêté est incompatible avec le statut d’espèce protégée du loup. L’État semble totalement se désengager de sa mission d’accompagnement des éleveurs pour tenter de faire cohabiter la faune sauvage et l’agriculture, comme cela peut être fait dans les pays limitrophes. D’autre part, les scientifiques (trop rarement écoutés ) pointent le fait que les tirs ne résoudront pas le problème…un individu ou une meute qui disparaît libère une nouvelle niche écologique pour d’autres…ceci n’est pas une solution satisfaisante sur le long terme et ne permet pas de remplir la mission de protection du loup, pourtant essentiel pour la santé de nos écosystèmes.;défavorable attrister consterner nombre recul état matière protection environnement faune sauvage d nouveau arrêté incompatible statut espèce protéger loup état totalement désengager mission accompagnement éleveur pour tenter faire cohabiter faune sauvage agriculture pays limitrophe part scientifique trop rarement écouter pointer tir résoudre problème individu meute disparaître libérer nouveau niche écologique pour solution satisfaisant long terme remplir mission protection loup pourtant essentiel pour santé écosystème;Défavorable
Défavorable ;1er juin 2025;14h50;Défavorable , le 1er juin 2025 à 14h50;Défavorable . Totalement défavorable à toutes ces dérogations . Quand comprendrons nous que la biodiversité n’ a pas besoin d’ être régulée par l’ homme . Le loup a été à l’ origine de la la domestication animale et de l’ élevage. Sans lui nous n’ existe rions pas , revoyez vos copies , sans lui pas d’ élevage. Certaines régions ferment les yeux sur des chasseurs hors dates autorisées , car ils n’ ont pas remplis le quota d abattage ou de tuerie devrais je dire de gibiers . Faites un lien entre ces régions et l’ absence de loups ! Si plus de prédateurs, il est évident que le gibier est trop nombreux…. à méditer non ?;Défavorable . Totalement défavorable à toutes ces dérogations . Quand comprendrons nous que la biodiversité n’ a pas besoin d’ être régulée par l’ homme . Le loup a été à l’ origine de la la domestication animale et de l’ élevage. Sans lui nous n’ existe rions pas , revoyez vos copies , sans lui pas d’ élevage. Certaines régions ferment les yeux sur des chasseurs hors dates autorisées , car ils n’ ont pas remplis le quota d abattage ou de tuerie devrais je dire de gibiers . Faites un lien entre ces régions et l’ absence de loups ! Si plus de prédateurs, il est évident que le gibier est trop nombreux…. à méditer non ?;défavorable totalement défavorable dérogation comprendre biodiversité ne besoin d réguler l homme loup été l origine domestication animal l élevage ne exister rire revoir copie d élevage région ferment oeil chasseur date autoriser ne remplir quota d abattage tuerie devoir gibier fait lien région l absence loup prédateur évident gibier trop méditer non;Défavorable
"C’est quoi la ""biodiversité ?""";1er juin 2025;15h07;"C’est quoi la ""biodiversité ?"", le 1er juin 2025 à 15h07";"C’est quoi la ""biodiversité ?"". Soyons clairs. La vraie intelligence politique, c’est justement de savoir identifier des choix binaires à travers la complexité. Ce n’est qu’ainsi qu’on prend de véritables décisions. La résolution d’un problème complexe ne peut-être que binaire. A condition de bien poser la question. Celle-ci est : le loup fait-il partie de la biodiversité, oui ou non ? La réponse est évidemment oui. Et cela depuis l’apparition de l’homme sur la Terre. Alors sur quel argument recevable un politique peut-il décider de mettre fin à l’équilibre naturel. Décider que le loup, mais aussi d’autres animaux, ne doit plus faire partie de la biodiversité est un crime contre nature.";"C’est quoi la ""biodiversité ?"". Soyons clairs. La vraie intelligence politique, c’est justement de savoir identifier des choix binaires à travers la complexité. Ce n’est qu’ainsi qu’on prend de véritables décisions. La résolution d’un problème complexe ne peut-être que binaire. A condition de bien poser la question. Celle-ci est : le loup faitil partie de la biodiversité, oui ou non ? La réponse est évidemment oui. Et cela depuis l’apparition de l’homme sur la Terre. Alors sur quel argument recevable un politique peutil décider de mettre fin à l’équilibre naturel. Décider que le loup, mais aussi d’autres animaux, ne doit plus faire partie de la biodiversité est un crime contre nature.";biodiversité être clair vrai intelligence politique justement savoir identifier choix binaire travers complexité prendre véritable décision résolution problème complexe peut-être binaire condition bien poser question loup faitil partie biodiversité oui non réponse évidemment oui apparition homme terrer argument recevable politique peutil décider mettre fin équilibre naturel décider loup animal faire partie biodiversité crime contre nature;Défavorable
DEFAVORABLE le loup fait partie de notre biodiversité déjà gravement menacée;1er juin 2025;15h11;DEFAVORABLE le loup fait partie de notre biodiversité déjà gravement menacée, le 1er juin 2025 à 15h11;"DEFAVORABLE le loup fait partie de notre biodiversité déjà gravement menacée. le loup participe à l’équilibre naturel, prédateur d’ongulés il a des effets positifs sur le milieu, les attaques sur les troupeaux peuvent être gérées par les mesures de prévention bien connues et qui ont fait leurs preuves, encore faut-il avoir une volonté politique, mais il est tellement plus facile de courtiser certains lobbies qui se sont institués abusivement ""régulateurs"" (! ) de la nature. Ne nous trompons pas, au delà du loup, figure symbolique, c’est toute la nature qui est attaquée et les acquis, fragiles, en sa faveur des dernières décennies, ne laissons pas la démagogie et le clientélisme nous ramener cinquante ans en arrière, restons mobilisés.";"DÉFAVORABLE le loup fait partie de notre biodiversité déjà gravement menacée. le loup participe à l’équilibre naturel, prédateur d’ongulés il a des effets positifs sur le milieu, les attaques sur les troupeaux peuvent être gérées par les mesures de prévention bien connues et qui ont fait leurs preuves, encore fautil avoir une volonté politique, mais il est tellement plus facile de courtiser certains lobbies qui se sont institués abusivement ""régulateurs"" (! ) de la nature. Ne nous trompons pas, au delà du loup, figure symbolique, c’est toute la nature qui est attaquée et les acquis, fragiles, en sa faveur des dernières décennies, ne laissons pas la démagogie et le clientélisme nous ramener cinquante ans en arrière, restons mobilisés.";défavorable loup partie biodiversité gravement menacer loup participe équilibre naturel prédateur ongulé effet positif milieu attaquer troupeau gérer mesure prévention bien connu preuve fautil volonté politique facile courtiser lobbies instituer abusivement régulateur nature tromper loup figurer symbolique nature attaquer acquis fragile faveur dernier décennie laisser démagogie clientélisme ramener an arrière rester mobiliser;Défavorable
Favorable ;1er juin 2025;15h17;Favorable , le 1er juin 2025 à 15h17;Favorable . Favorable à Cet arrêté;Favorable . Favorable à Cet arrêté;favorable favorable arrêté;Favorable
Defavorable;1er juin 2025;15h25;Defavorable, le 1er juin 2025 à 15h25;Defavorable. Le loup est utile pour reguler la proliferation des cerfs, biches, etc. Ces animaux s’ils n’ont pas NOMBRE predateur,nuisent à la forêt. Tous les animaux sont utiles et il faut laisser la chaine alimentaire. Oui il faut proteger les troupeaux, mais des solutions existent et sont mises en oeuvre ( ex : allos ). Bien sûr il faut le vouloir, plus facile de tuer le loup, detruire la biodiversité que de travailler tous ensembles à la mise en place des solutions.;Défavorable. Le loup est utile pour réguler la prolifération des cerfs, biches, etc. Ces animaux s’ils n’ont pas NOMBRE prédateur,nuisent à la forêt. Tous les animaux sont utiles et il faut laisser la chaîne alimentaire. Oui il faut protéger les troupeaux, mais des solutions existent et sont mises en œuvre ( ex : allons ). Bien sûr il faut le vouloir, plus facile de tuer le loup, détruire la biodiversité que de travailler tous ensembles à la mise en place des solutions.;défavorable loup utile pour réguler prolifération cerf bicher etc. animal nombre prédateur nuire forêt animal utile falloir chaîne alimentaire oui falloir protéger troupeau solution exister mises œuvre ex bien sûr falloir vouloir facile tuer loup détruire biodiversité travailler ensemble mise place solution;Défavorable
Défavorable à toutes dérogations;1er juin 2025;15h34;Défavorable à toutes dérogations, le 1er juin 2025 à 15h34;"Défavorable à toutes dérogations. Quelle est la définition de biodiversité pour l’Etat ? Comment peut-on imaginer vivre dans un monde sans insectes, oiseaux et autres ""bestioles"" supposées nuisibles ? Les nuisibles pour certains sont utiles pour d’autres, arrêtons de croire que l’humain peut régenter la nature.";"Défavorable à toutes dérogations. Quelle est la définition de biodiversité pour l’État ? Comment peuton imaginer vivre dans un monde sans insectes, oiseaux et autres ""bestioles"" supposées nuisibles ? Les nuisibles pour certains sont utiles pour d’autres, arrêtons de croire que l’humain peut régenter la nature.";défavorable dérogation définition biodiversité pour état peuton imaginer vivre monde insecte oiseau bestiole supposer nuisible nuisible pour utile pour arrêter croire humain régenter nature;Défavorable
