sujet;texte;Unnamed: 0.15;Unnamed: 0.14;Unnamed: 0.13;Unnamed: 0.12;Unnamed: 0.11;Unnamed: 0.10;Unnamed: 0.9;Unnamed: 0.8;Unnamed: 0.7;Unnamed: 0.6;Unnamed: 0.5;Unnamed: 0.4;Unnamed: 0.3;Unnamed: 0.2;Unnamed: 0.1;Unnamed: 0
Avis défavorable , le 1er décembre 2023 à 08h18;Avis défavorable car une fois de plus on raisonne par la destruction d’une espèce qui gêne une minorité….quand l’homme sera classé nuisible que restera-t-il ?;;;;;;;;;;;;;;;;
favorable, le 1er décembre 2023 à 08h20;il ne faut pas l’exterminé mais le réguler un peu plus qu’à l’heure actuelle se mettre à la place des éleveurs un instant quand vous avez votre troupeau le soir et que le lendemain matin il vous en reste  que le moitié????? malgré toutes les protections clôture Patou etc…. ils commencent à attaquer les veaux ,les génisses et même les vaches peu être se poser les bonne question quand une attaque est arrivée c’est trop tard le mal est fait il faut le réguler avant même en plaine il commence à faire des dégâts c’est peut être le moment de faire quelque chose sans parler des coût que ca représente des million d’euros sur le dos de tous les contribuables et oui tout le monde paye ,je pense que cette argent serait plus utile a aider les gens qui travaillent et qui dorment dans leurs voitures ou dehors pour les plus mal chanceux il faut savoir aussi qu’il commence à attaquer les chiens ,peut bientôt les humains?? je pense que le nouveau plan est mieux mais insuffisant avez vous pensez aussi a la faune sauvage qu’il est en train de décimer a vue d’œil dans certains département du cerfs au chevreuils au mouflons quand vous allez en montagne dans certain coin et que vous trouvez des carcasses avec vos enfants et que vous voyez plus aucun animaux c’est inquiétant merci de votre attention;;;;;;;;;;;;;;;;
Je suis contre les tirs de régulation !, le 1er décembre 2023 à 08h25;Contrairement au but recherché, ces fameux tirs censés réguler la population des loups ne fait que la déséquilibrer ! L’éclatement d’une meute constituée est particulièrement néfaste ! Isoler des loups revient à les condamner à chercher des proies faciles (moutons) car il est impossible pour un loup solitaire de tuer un cervidé ou un sanglier ! De plus, un loup isolé cherchera toujours à refonder une meute et sera capable de faire des milliers de kilomètres pour cela. Donc, expansion permanente de l’espèce, à priori l’inverse de ce que les tirs de régulation cherchent à faire ! On sait qu’il suffit d’effrayer un loup (particulièrement craintif vis à vis de l’homme) pour qu’il aille chercher ailleurs sa pitance. Nul besoin donc de le tuer ! Les tirs ne font pas la sélection et peuvent tuer des loups qui n’ont jamais attaqués de troupeaux !;;;;;;;;;;;;;;;;
Avis défavorable , le 1er décembre 2023 à 08h25;Les tirs destructurent les meutes et ne servent qu’à apaiser les esprits mais ne changent rien à la prédation. Il vaudrait mieux aider les bergers avec l’argent public à se préparer au retour définitif du loup.;;;;;;;;;;;;;;;;
Stop, le 1er décembre 2023 à 08h28;Par pitié, arrêtons tous ces massacres mais au contraire protégeons encore mieux la faune de notre planète.;;;;;;;;;;;;;;;;
Destruction des loups, le 1er décembre 2023 à 08h29;Je refuse ce projet d’arrêté qui donnerait des pouvoirs abusifs aux préfets. Il faut respecter la nature et la bio diversité et les loups contribuent à cet équilibre. Cordialement.;;;;;;;;;;;;;;;;
Destruction ,extinction des espèces seul coupable l’homme !, le 1er décembre 2023 à 08h32;Avec la disparition des loups en Europe, les éleveurs s’étaient habitués à ne plus garder leurs troupeaux , leur attitude doit changer car la situation a changé. Il faut renoncer à l’abattage et aux dérogations de tirs sur le loup , il est impératif de trouver des solutions pour facilité la cohabitation entre l’animal et l’activité humaine. Notre rôle est de sauvegarder la biodiversité , nous humains avons causé assez de dégâts nous sommes responsables de l’extinction des espèces. Il est indispensable et urgent de poursuivre les actions de préservations de notre terre et non de destruction comme nous le faisons. Le loup doit être respecter protéger dans son milieu naturel comme devrait l’être toutes les espèces de ce monde .;;;;;;;;;;;;;;;;
Contre, le 1er décembre 2023 à 08h35;Contre cette approche tellement peu fine des écosystèmes. Pour le retour des Canis Lupus et cercle vertueux de biodiversité dans leurs sillages !;;;;;;;;;;;;;;;;
Sans titre, le 1er décembre 2023 à 08h38;Totalement contre l’abattage des loups. L’homme doit réapprendre à respecter le vivant ou il est voué à disparaître.;;;;;;;;;;;;;;;;
Opposition au Projet d’arrêté fixant les conditions et limites dans lesquelles des dérogations aux interdictions de destruction peuvent être accordées par les préfets concernant le loup, le 1er décembre 2023 à 08h39;Je m’oppose au projet d’arrêté fixant les conditions et limites dans lesquelles des dérogations aux interdictions de destruction peuvent être accordées par les préfets concernant le loup. Les analyses des cas de prédation du loup sur le bétail en Suisse montrent que les mesures de protections des troupeaux sont efficaces. Il faut les généraliser, poursuivre les expérimentations et chercher d’autres méthodes. Les tirs de destruction de loups doivent rester exceptionnels (quelques cas par an) et uniquement dans des situations où ils ont été positifs.;;;;;;;;;;;;;;;;
Défavorable, le 1er décembre 2023 à 08h44;La rigueur faciale du texte n’empêchera pas les risques de contournement et de chasse abusive. Où sont les sanctions dissuasives en cas d’acte non conforme, pour autant que l’on soit en capacité d’identifier des coupables.;;;;;;;;;;;;;;;;
FAVORABLE  à la régulation massive du loup, le 1er décembre 2023 à 08h46;Nous souhaitons que le plan national loup intègre • Un volet spécifique sur l’impact du loup sur la faune sauvage • Stabilise la population à 1100 loups sans la dépasser avec une répartition sur l’ensemble du pays • Propose une gestion adaptative du loup par massif ou département en tenant compte des enjeux agricoles, touristiques, cynégétiques. • Fixe un plafond de prélèvement admissible de 25% minimum pour enrayer la hausse des effectifs • Autoriser les éleveurs et les chasseurs à utiliser les jumelles mais également les lunettes thermiques • Autoriser les tirs de prélèvements en action de chasse à partir du 1er juin sur les zones concernées par des attaques importantes;;;;;;;;;;;;;;;;
Non à l’abattage des loups, le 1er décembre 2023 à 08h48;Une fois de plus, l’abattage reste la seule solution pour résoudre les problèmes (marginaux) d’attaque de troupeaux, alors que des chiens de garde et des clôtures électriques ont depuis longtemps prouvés leur efficacité. Le Ministère de la transition écologique (…) n’est pas la Chambre d’enregistrement des désidérata des chasseurs ! Il n’a pas à faciliter les conditions d’octroi des tirs de défense renforcés. Les loups sont indispensables à l’équilibre de la nature. Les chasseurs détruisent l’équilibre de la nature. NON à ce projet qui piétine les avis des scientifiques et qui méprise la faune sauvage.;;;;;;;;;;;;;;;;
