titre;texte
Avis defavorable, le 3 juin 2025 à 23h53;Le loup doit rester une espèce protégée.
Avis défavorable., le 3 juin 2025 à 23h53;"Je ne comprends vraiment pas ce qui se passe en France. D’autres pays limitrophes (Italie et Espagne, par exemple) vivent avec les loups sans les massacrer, comme nos têtes dirigeantes -en France- cherchent à le faire. Mais comment font-ils? Ils gardent leurs troupeaux. Ils s’en occupent. Ils les protèges. A ceux qui, dans les avis favorables, nous sortent me coût à payer pour les contribuables : vous devez nous coûter bien chers vous aussi… et ce n’est pas un argument ! Et ceux qui osent dire qu’ils renonce à leur projet d’éco-pâturage car ils ont peur pour leur éventel futur troupeau : sachez que j’ai ne dizaine de moutons chez moi, déclarée éleveur auprès de l’EDE parce que c’est obligatoire, mais non professionnelle (oui, j’ai un travail qui n’a rien à voir avec mes moutons). Mais je protège mon troupeau. Et moi, ce qui me fait le plus peur, c’est l’humain : celui qui vole les moutons pour on ne sait quoi, celui qui jette canette en aluminium et bouteilles en verre dans la nature et dont les morceaux, broyés par les engins agricoles, peuvent être ingérés par les animaux, et leurs lacérer l’oesophage… Les loups sont toujours accusés du pire. Le dicton ""Quand on veut tuer son chien, on dit qu’il a la rage"", est on ne peut plus vrai. Les loups sont accusés immédiatement, dès qu’il y a eu une attaque sur un troupeau ou un animal. Mais dans l’écrasante majorité des cas, ils s’agit de chiens errants (tiens, la encore, la faute à des humains qui ne s’occupent pas e leurs animaux…). Le loup doit garder son statut d’animal protégé. Il faut arrêter de vouloir repousser les limites du nombre d’animaux autorisés à être ""prélevés"" (terme idiot). Quand on sait qu’il suffit d’une seule prédation sur toute une année pour déclencher une autorisation de ""destruction"" (terme immonde), il y a de quoi se poser des questions sur la réellle envie de voir le loup vivre et s’interroger sur le pourquoi d’un programme de sauvegarde du loup par l’Etat, quand ce dernier passe son temps à vouloir le tuer. Il y aurait beaucoup à dire au sujet de toute cette mascarade, mais ce à quoi il faut bien penser, c’est que le loup a autant le droit de vivre que l’Homme."
Defavorable, le 3 juin 2025 à 23h55;Des solutions non letales et de prévention existent. Les autres pays européens y arrivent mieux que nous.
AVIS DÉFAVORABLE , le 3 juin 2025 à 23h58;C’est un retour en arrière. Avançons dans nos lois pour protéger le vivant. Pensons au monde que nous laisserons à nos enfants.
Avis defavotable , le 4 juin 2025 à 00h00;Defavorable, le 3 juin 2025 à 23h55 Des solutions non letales et de prévention existent. Les autres pays européens y arrivent mieux que nous.
Avis défavorable le 3 juin 2025 à 23h58, le 4 juin 2025 à 00h00;La France doit impérativement protéger le loup.
Favorable, le 4 juin 2025 à 00h01;Je suis favorable à la modification du statut  du loup car souvent toutes les mesures de protection sont des charges de travail supplémentaires pour les éleveurs et ce ne sont pas les protecteurs qui vont les aider dans ces tâches quotidiennes
Avis défavorable ! , le 4 juin 2025 à 00h04;Le loup est un prédateur naturel que nous devons protéger. D’autres pays cohabitent parfaitement avec les loups. Il est insupportable qu’en France nous ne soyons pas capables d’en faire autant. Nous devons préserver notre faune sauvage. Toutes ces dérogations préfectorales sont révoltantes et j’y suis fermement opposée !
Défavorable , le 4 juin 2025 à 00h05;Laissons vivre et se développer ce bel animal jusqu’à qu’il stabilise naturellement sa population et rejetons cette répugnante habitude des chasseurs et autres tueurs qui se feraient un plaisir de tirer encore sur une espèce au combien respectable !
DÉFAVORABLE au nouvel arrêté , le 4 juin 2025 à 00h08;DÉFAVORABLE ! Un seul constat d’attaque sur 12 mois, dont la responsabilité du loup n’est pas exclue peut suffire pour obtenir cette dérogation, suspect ne veut pas dire coupable !  Prôner la biodiversité en tuant les  grands prédateurs comme le loup est inconcevable ! Des protections existent, déjà les appliquer ! Le nombre de loups à abattre puis abattu augmente chaque année et pourtant tous les ans des constats d’attaques ( loup ou chien ??) Un loup mort n’apprend rien à la meute, des tirs d’effarouchement suffisent !
