sujet;texte
Comptage des loups, le 22 mars 2024 à 15h28;Je souhaite que l’on utilise une méthode de comptage fiable et non pas une combinaison des deux proposées. Je souhaite également que le monde cynégétique, et par là, les chasseurs de par leur expertise et leur connaissance des territoires, soit intégrés dans le déploiement de cette nouvelle méthode de comptage.
inclure la chasse, le 22 mars 2024 à 15h37;oui mais il faut inclure le monde de la chasse aux comptages
dénombrement loups, le 22 mars 2024 à 15h59;"Les populations lupines se portent bien en Europe et en France. L’espèce n’est plus en danger et son statut ""de superprotection"" ne se justifie plus au sein de la convention de Berne. Il est temps de pouvoir gérer cette espèce via un plan de gestion. Les quotas de prélèvements, qui s’effectuent selon des effectifs de fin d’hiver, sont en deça du taux d’accroissement des populations. Ainsi, sans augmentation du taux de prélèvement (19%), il ne sera pas possible de stabiliser ou de baisser les populations. Par ailleurs, les dégâts occasionnés à la faune sauvage ne sont jamais pris en considération pour le déclenchement de tirs de régulation. Seuls les dégâts causés aux espèces domestiques comptent. Dans un département où la protection des troupeaux est maximale, les tirs sont inexistants : les populations de loup prospèrent donc au détriment de la biodiversité. Si l’Etat estime que les populations sont en équilibre, alors cessons de subventionner à coup de millions les protections, et on s’apercevra vite de la nécessité de réguler davantage la population de loup."
Projet d’arrêté relatif à la méthode d’estimation de la population des loups , le 22 mars 2024 à 16h03;Bonjour, oui à une méthode de comptage fiable et très favorable à la participation du monde cynégétique.
Contre cette nouvelle méthode de comptage des loups, le 22 mars 2024 à 16h08;Je souhaite que soit utilisée une méthode de comptage fiable. Je souhaite également que  les chasseurs de par leur expertise et leur connaissance des territoires, soit intégrés dans le déploiement de cette nouvelle méthode de comptage. Les loups sont sous comptés. Pourquoi une deuxième brigade loup a t elle été créée ? C est que la population explose et la vérité est cachée.
Projet d’arrêté relatif à la méthode d’estimation de la population de loups, le 22 mars 2024 à 16h28;Je suis très favorable à l’élaboration d’une méthode de comptage validée par les organismes compétents. Je suis par ailleurs aussi favorable à l’investissement des structures cynégétiques et des chasseurs dans la mise en œuvre des comptages.
Méthode de comptage des loups, le 22 mars 2024 à 16h28;"Avis favorable au projet d’arrêté relatif à la méthode d’estimation Mes observations : <span class=""puce"">- Il est essentielle d’avoir les bonnes donnée avec une méthode de comptage fiable ;la méthode CMR semble être l’hypothèse de dénombrement la plus fiable.  <span class=""puce"">- Il serait très pertinent que le monde cynégétique, de par son expertise et sa connaissance des territoires, soit intégré dans le déploiement de cette nouvelle méthode de comptage. Cordialement Patrick"
avis favorable, le 22 mars 2024 à 16h42;Je souhaite une méthode de comptage fiable et que le monde cynégétique, de par son expertise et sa connaissance des territoires, soit intégré dans le déploiement de cette nouvelle méthode de comptage.
Le loup est protégé, le 22 mars 2024 à 16h46;Connaitre les populations de loups et utiliser une méthode fiable pour connaitre leur nombre est une évolution qui ne doit pas être utilisée à des fins de destruction : le loup est un espèce protégée et doit le rester pour l’équilibre de nos écosystèmes. Les chasseurs ne doivent en aucun cas y être associés.
Projet d’arrêté relatif à la méthode d’estimation de la population de loups, le 22 mars 2024 à 16h56;Je suis pour la modification du système d, évaluation de la population de loups en intégrant toutes les parties prenantes dans ce comptage afin que les résultats ne soient plus contestables
Avis favorable , le 22 mars 2024 à 17h13;De par leur présence sur le terrain les chasseurs peuvent rendre compte de leurs observations concernant les indices signalant le ou les loups. Toute méthode est bonne à prendre pour maintenir et permettre la présence du loup sans chercher à l’éradiquer.
Oui à une méthode fiable de comptage., le 22 mars 2024 à 17h14;Une fois la méthode adoptée,  il est essentiel d’associer le monde de la chasse en s’appuyant sur son expertise et sa connaissance fine des territoires.
monsieur, le 22 mars 2024 à 17h33;avis favorable à la consultation
