sujet;texte
Plan national d’actions 2024-2029 sur le loup…Totalement défavorable !, le 2 décembre 2023 à 18h10;D’abord sensibiliser la totalité éleveurs aux méthodes de protections des troupeaux qui leurs sont apportées , restaurer un pastoralisme digne de ce nom avec présence humaine permanente Mieux informer et gérer ONCSF et fédérations de chasse et surtout réformer la louveterie qui est encore basée sur des méthodes ancestrales…. Et surtout laisser agir la nature qui est la plus habilitée à s’auto organiser
Contre le projet, le 2 décembre 2023 à 18h11;Et encore une fois, la solution : tuer Le loup doit rester une espèce protégée. Jusqu’à nos sociétés modernes qui n’accepte pas de vivre avec d’autres espèces, le pastoralisme s’adaptait aux les loups. Et non le contraire. A quand des projets avec un regard positif sur la biodiversité ? A quand des projets sur la biodiversité, non influencés pas le lobby des chasseurs et leurs amis au différentes strates de pouvoir (Europe, France, régions, départements, communes…) ?
Avis défavorable, contre ce projet., le 2 décembre 2023 à 18h11;Cette modification du statut de protection du loup et le fait de déclasser le loup comme espèce strictement protégée va à l’encontre de sa conservation. Ce changement par l’État est à contre courant de ses engagements dans la Directive Habitats de 1992 et la Convention de Berne de 1979. Ce manque de sérieux quand aux sources utilisées pour établir ce projet est inacceptable, que ça soit pour ce PNA ou bien plus généralement pour les autres plans d’action concernant la protection de la faune sauvage.
Avis défavorable , le 2 décembre 2023 à 18h12;Appuyez-vous sur les analyses de France Nature Environnement ou de l’ASPAS. Et inspirons nous des pays qui parviennent à gérer cette situation.
Défavorable au Plan National d’action, le 2 décembre 2023 à 18h12;"Je suis défavorable au plan car il n’y a pas eu d’évaluation sur la pertinence des actions engagées avant ni sur leurs enseignements .Le plan ne mentionne que les effets négatifs de la présence du loup et aucunement  ses bénéfices : ""Quand on veut tuer son chien, on dit qu’il a la rage ! "" .C’est surtout la rage de certains éleveurs qui ne veulent pas utiliser les moyens adaptés pour une cohabitation avec une espèce utile à l’environnement de par sa place en tête de la chaîne alimentaire. D’autres pays savent le faire, pourquoi les éleveurs français n’ont aucune tolérance avec la Nature ? Le Conseil National de la Protection de la Nature, instance scientifique indépendante , consultée et ayant émis un avis NEGATIF n’est même pas respecté !"
AVIS DEFAVORABLE, le 2 décembre 2023 à 18h16;Les études scientifiques démontrent de l’importance de la présence de chaque espèce dans l’équilibre des écosystèmes. Ce plan national d’actions, par le nombre de loups qu’il prévoit de tuer par an, est en totale contradiction avec les recommandations scientifiques, en menaçant la viabilité de la population de loups en France. Depuis le retour naturel du loup dans notre pays il y a plus de 30 ans, l’objectif de l’état semble avoir été de tuer ces animaux, pourtant parfaitement à leur place dans nos montagnes. Nous devrions nous réjouir de son retour plutôt que de chercher à l’exterminer une nouvelle fois. De plus, bien que des conflits existent entre les activités humaines et cette espèce, il est possible de cohabiter grâce à des stratégies qui ont déjà fait leurs preuves, en France comme dans d’autres pays (en Italie par exemple). Le gardiennage des troupeaux, la présence de chiens de protection notamment, sont des méthodes efficaces, permettant aux activités d’élevage de continuer à exister, tout en protégeant le loup dans son écosystème. Des associations comme Ferus aident également à trouver des solutions viables. Nous pouvons cohabiter avec les loups.
Il faut aller plus loin, le 2 décembre 2023 à 18h18;Il faut reduire la population de loups c est la priorité,  mais il faut aussi ouvrir la prise en charge totale des frais des particuliers,  que ce soit pour la protection ou en cas d attaque : soins veterinaires illimités,  equarissage, remplacement au prix réel  payé et indemnisation pour prejudice moral avec en sus cellule psychologique.
Avis défavorable !, le 2 décembre 2023 à 18h18;"Je citerai Jane Goodall : "" Si nous éliminons le sauvage, alors nous tuons une partie de nos âmes. """
Avis défavorable, le 2 décembre 2023 à 18h19;Certes, il faut aider l’élevage MAIS 1) Il est absolument scandaleux que le PNA précédent n’ait pas fait l’objet d’une évaluation-bilan. 2) Le loup est une espèce protégée (Convention de Berne notamment) et il est scandaleux que l’État français se permette de modifier ce statut ! 3) Le CNPN n’a-t-il pas émis un avis négatif à ce nouveau PNA ???  4) La présence du loup a des impacts bénéfiques sur la biodiversité : dans de nombreux pays on a le courage de le reconnaître mais pas en France bien sûr ! Pourrait-on en tenir compte de l’avis des scientifiques et des gens sur le terrain ? Je suis scandalisée par l’attitude de l’État français et j’en ai plus qu’assez que ce soient les lobbies qui fassent la loi dans notre pays !
AVIS DÉFAVORABLE, le 2 décembre 2023 à 18h21;Ce projet est honteux. Le loup est une espèce protégée, à juste titre. Il serait grandement souhaitable d’avoir des projets résolument tournés en faveur de la biodiversité, rappelons que la nature est capable de s’auto-gérer. Merci de ne pas céder aux volontés meurtrières et désastreuses de certains, il est possible de mettre en places des actions pacifiques afin de parvenir à une cohabitation saine et respectueuses des espèces sauvages.
Avis défavorable, le 2 décembre 2023 à 18h21;Certes, il faut aider l’élevage MAIS 1) Il est absolument scandaleux que le PNA précédent n’ait pas fait l’objet d’une évaluation-bilan. 2) Le loup est une espèce protégée (Convention de Berne notamment) et il est scandaleux que l’État français se permette de modifier ce statut ! 3) Le CNPN n’a-t-il pas émis un avis négatif à ce nouveau PNA ???  4) La présence du loup a des impacts bénéfiques sur la biodiversité : dans de nombreux pays on a le courage de le reconnaître mais pas en France bien sûr ! Pourrait-on en tenir compte de l’avis des scientifiques et des gens sur le terrain ? Je suis scandalisée par l’attitude de l’État français et j’en ai plus qu’assez que ce soient les lobbies qui fassent la loi dans notre pays !
Favorable a la destruction de meutes complete, le 2 décembre 2023 à 18h23;Comme en suisse actuellement. Le prelevement de la meute offre les meilleures garanties d efficacite et repond a l argument systematique de la desorganisation cher aux ecolo. Dans le cadre d une saine reduction de la population,  passant de 1200 a 500 individus, ce prelevement total est possible.
Avis défavorable, le 2 décembre 2023 à 18h24;Qui propose ce projet, sur quels conseils ? Des personnes pour ou contre la présence du loup ? Plutôt contre, quand on le lit…
Avis defavorable, le 2 décembre 2023 à 18h25;Alors que ce PNA devrait viser l’atteinte du bon état de conservation de l’espèce en France tout en assurant le soutien et l’accompagnement du pastoralisme, il n’est fait mention que des impacts négatifs de la présence du loup et non des bénéfices écologiques qu’elle apporte. A l’inverse, l’élevage est présenté uniquement sous un angle positif, sans tenir compte des problèmes qu’il peut engendrer. La LPO demande l’abandon de ce projet et le retour à un texte plus équilibré, prenant en compte les avis scientifiques et les travaux du Groupe National Loup.
destruction, le 2 décembre 2023 à 18h28;Arrêtez de détruire notre environnement pour un oui ou pour un non, un peu de réflexion serait bienvenue .
Avis très défavorable, le 2 décembre 2023 à 18h29;"Il faut arrêter de tuer les loups et apprendre à vivre avec eux ; il n’est pas normal de ne pas savoir vivre avec d’autres prédateurs, prenons exemple sur ce qui est fait dans les Asturies en Espagne ou dans les Abbruzes en Italie, ils y arrivent, pourquoi pas nous ?"
Favorable, le 2 décembre 2023 à 18h30;Il est urgent de reduire le statut de protection du loup
Défavorable au nouveau plan anti loup , le 2 décembre 2023 à 18h33;"Je cite : "" le Loup est une espèce strictement protégée au niveau international et européen"" Mais en France, la porte est grande ouverte à la chasse et à l’élevage intensif, les lobbies sont omniprésents sur ces secteurs… Notre belle planète n’appartient pas en exclusivité à l’espèce humaine qui a pour habitude de supprimer tout ce qui la dérange… Ce que le Loup tue comme ovins représente une infime partie par rapport au nombre d’animaux d’élevage qu’il y a en France Le Conseil National de Protection de la Nature a donné un avis défavorable à ce nouveau plan anti loup le 19 septembre 2023 Pourquoi faire semblant de prendre l’avis des contribuables ? Stop à l’élevage intensif et aux agriculteurs dépendants des lobbies et des aides de l’État et stop à la chasse dont la fédération est surpuissante en France NON au PNA"
Défavorable au PNA, le 2 décembre 2023 à 18h34;Le loup est une espèce à protéger. Une autre cohabitation est possible dans l’intérêt de la biodiversité. Tous ne partagent pas la logique extractiviste du PNA, notamment le CNPN. Pouvez-vous tenir compte de l’avis des scientifiques dans votre plan.
Défavorable , le 28 novembre 2023 à 22h53;L’être humain est le destructeur de notre planète. Laissez la nature vivre. Les loups ont le droit d’être sur terre et vivre en paix. C’est aux humains de s’adapter aux animaux sauvages.
NON au plan anti-loup du gouvernement, le 28 novembre 2023 à 22h53;Le loup est un être vivant indispensable à l’équilibre des écosystèmes. Tirer le loup ne fait qu’augmenter le risque de prédation puisque la meute qui était habituée a chasser ensemble est désormais déstructurée avec un individu en moins. Dans les régions alpines où le loup est présent depuis plusieurs années, la prédation sur les animaux domestiques a diminué puisque les moyens de protection des troupeaux (gardiennage, chiens de protection, clôtures électriques) ont été déployés. Il suffit de continuer le déploiement de ces méthodes auprès des éleveurs dans les nouveaux territoires où le loup est en progression.
Défavorable , le 28 novembre 2023 à 22h56;Quand le gouvernement décide de détruire la nature et la biodiversité si précieuse à notre époque…
Avis défavorable, le 28 novembre 2023 à 22h57;Avis défavorable au plan sur le loup. Le loup est essentiel dans l’écosystème, comme toutes les espèces vivantes sur Terre. Un exemple parmis tant d’autres, sans le loup la régulation des ongulés ne se fait pas correctement et les forêt ne peuvent se développer correctement. Merci, Cordialement
AVIS DÉFAVORABLE , le 28 novembre 2023 à 22h59;L’état de conservation du loup en France est défavorable (la reproduction est quasi-cantonnée aux Alpes et ses marges). De plus, il s’agit d’un plan de régulation et non pas d’un plan de conservation de l’espèce ce qui est contraire aux engagements de l’Etat de maintenir le bon état de conservation de la population de loups).
Défavorable , le 28 novembre 2023 à 23h08;Laisser les animaux vivre, nous ne sommes pas les dieux qui doivent décider du sort des autres !
Protégeons les loups !, le 28 novembre 2023 à 23h09;"Nous avons besoin d’eux, ils ont besoin de nous ! A nous de trouver la solution qui permettra leur préservation. Nous avons tant à apprendre de la nature. Nous voulons souvent aller trop vite et commettons l’irréparable. Et puis, j’ai trop aimé le film ""Marche avec les loups""."
Avis Défavorable , le 28 novembre 2023 à 23h13;Le loup est bien trop important dans notre écosystème il est temps d’arrêter de vouloir employé des méthodes moyenâgeuse.
Avis défavorable , le 28 novembre 2023 à 23h13;A quand un plan d’action espèce STATEGIQUE et réfléchit qui ne se fait pas le seul porte parole de l’agriculture et des éleveurs, mais bien de l’espèce dont il est question ? A quand un référentiel d’action adapté aux mutations systémiques et globales que connaît notre environnement ? A quand une approche eco systémique de l’homme à son environnement ? A quand des choix et des décisions assumées et transparentes en matière de protection de la biodiversité ? Beaucoup de questions auxquels ce plan ne répondra pas, même pas paru qu’il est en retard sur son temps tant sur la méthodologie que sur les conclusions et les mesures associées. Ce document est un aveu de faiblesse, vous avez échouer à rassurer les éleveurs et vous échouez à convaincre les citoyens… Je suis contre le déclassement du statut protégé du loup , contre les mesures de simplification de tirs , il n’est plus question de sacrifier des espèces parce que vous échouez dans la mise en œuvre de vos politiques agricoles et environnementale … Le vivant est en souffrance , ce plan n’est tout simplement pas à la hauteur de l’enjeu ! Construisons avec le vivant bien plus que contre lui …
Avis défavorable , le 28 novembre 2023 à 23h14;Trop d’animaux sont en voie d’extinction, il faut arrêter le massacre. Nous ne pouvons pas réintroduire certaines espèces pour les tuer ensuite. Encore une aberration de l’être humain qui se croit supérieur et qui détruit la planète…..
Avis Défavorable , le 28 novembre 2023 à 23h14;Ce n’est que du bon sens d’être défavorable à ce projet qui ne fait que montre l’incapacité de la France à chercher les vrais solutions au problème loup/elevage. Tirer des individus à tout va est une solution ridicule et la modification des pratiques de pâturages actuelles n’a jamais été évoqués (réduction de la taille des troupeaux, financement d’alpage à double berger etc…)
AVIS DÉFAVORABLE , le 28 novembre 2023 à 23h15;Le loup représente une espèce clef de voûte qui a toute sa place dans nos territoires où l’homme est en marge (Alpes, Lozère majoritairement). Les moyens de protection des troupeaux ont démontré leur efficacité, en adaptant bien entendu selon le contexte.
Avis défavorable, le 28 novembre 2023 à 23h16;Le loup fait parti de notre écosystème. Il faut apprendre à vivre avec lui et non pas contre lui.
Défavorable à ce plan anti-vie !, le 28 novembre 2023 à 23h19;C’est avec ce genre de plan que l’on en vient à déréguler tout l’ecosystème… Arrêtons de chercher à interférer et tout se remettra naturellement en place si on laisse à la nature les moyens de reprendre son cours en se faisant respectueux de son intelligence supérieure. Le loup est loin d’être un nuisible comme l’humain peut se faire et il serait temps qu’on le comprenne !
"avis défavorable
, le 28 novembre 2023 à 23h20";le loup est une espèce strictement protégée et doit le rester, nous devons apprendre à vivre avec eux et pas contre eux
Avis défavorable , le 28 novembre 2023 à 23h21;L’Homme doit apprendre à vivre avec le loup. La préservation de notre biodiversité est capitale pour notre survie future.
Avis, le 28 novembre 2023 à 23h21;"Un plan qui relève plus de la fuite que de l’action courageuse :  aucun bilan liant les deux plans ; le loups est en France depuis 1992 et l’Etat en est encore à « lancer des recherches scientifiques » ;  études pour l’adaptation du droit français en 2015 à refaire pour « mieux définir » le statut du loup bien que la réglementation européenne n’ait pas été modifiée ; lancer (encore) des études, élaborer ( encore) des stratégies de communication et de gouvernance…. intégrer dans le statut des chiens de protection que leurs aboiements font partie du « patrimoine de la campagne » , autoriser la destruction locale du loup sur la base d’une répartition de l’espèce en Europe, Etc etc  Je pourrais dire qu’il est consternant mais peut-on attendre mieux d’une politique manifestement électoraliste ?  Les seules pistes intéressantes et censées viennent des initiatives de la société civile ( expérimentations, formations, adaptations des moyens de protection, soutien aux éleveurs ) . Avis très défavorable."
Défavorable , le 28 novembre 2023 à 23h25;Le loup est une espèce qui doit retrouver sa place pour le bon maintient des services écosystémiques  qui ne sont plus à démontrer ( régulation naturelle des ongulés, maintient de population d’ongulés en bonne santé par la sélection des individus malades, blessés, la régulation des espèces herbivores permettant à la fois aux milieux naturels d’éviter d’être en situation de surpâturage et tellement d’autres bienfaits par la réintroduction des prédateurs naturels en général… ) le loup à sa place naturellement, pas nous, donc il est de notre ressort de trouver les solutions adaptées à la cohabitation et de tout faire pour que cela fonctionne.
